strategy,entry_date,direction,match,recon_sl_pips,recon_tp_pips,hist_sl_pips,hist_r_multiple
AUDJPY_AMR,2023-12-18,BUY,EXACT/ACCEPTABLE MATCH,21.4,14.3,21.434999999999604,0.5738278516445172
AUDJPY_AMR,2023-12-19,BUY,EXACT/ACCEPTABLE MATCH,10.0,6.7,9.982500000000982,-1.2021036814424062
AUDJPY_AMR,2023-12-20,SELL,EXACT/ACCEPTABLE MATCH,10.2,6.8,10.162499999998431,0.4723247232473053
AUDJPY_AMR,2023-12-21,BUY,EXACT/ACCEPTABLE MATCH,27.9,18.6,27.914999999999424,0.5946623679025737
AUDJPY_AMR,2023-12-22,BUY,EXACT/ACCEPTABLE MATCH,17.3,11.6,17.347500000000338,0.5533938607868462
AUDJPY_AMR,2023-12-25,BUY,EXACT/ACCEPTABLE MATCH,32.6,21.7,32.610000000001804,0.6041091689665412
AUDJPY_AMR,2023-12-27,SELL,EXACT/ACCEPTABLE MATCH,25.5,17.0,25.500000000000256,0.5882352941176412
AUDJPY_AMR,2023-12-28,BUY,EXACT/ACCEPTABLE MATCH,24.3,16.2,24.25500000000156,0.5854462997319764
AUDJPY_AMR,2023-12-29,SELL,EXACT/ACCEPTABLE MATCH,32.2,21.5,32.212499999997135,0.6053550640279933
AUDJPY_AMR,2024-01-02,SELL,EXACT/ACCEPTABLE MATCH,41.9,27.9,41.8875000000007,0.6183228886899329
AUDJPY_AMR,2024-01-03,SELL,EXACT/ACCEPTABLE MATCH,20.2,13.5,20.17500000000041,0.5700123915737183
AUDJPY_AMR,2024-01-04,SELL,EXACT/ACCEPTABLE MATCH,25.4,16.9,25.4099999999994,-1.0783156237701947
AUDJPY_AMR,2024-01-05,SELL,EXACT/ACCEPTABLE MATCH,12.1,8.1,12.112499999999216,-1.164086687306577
AUDJPY_AMR,2024-01-08,BUY,EXACT/ACCEPTABLE MATCH,36.3,24.2,36.28500000000017,0.6118230673832133
AUDJPY_AMR,2024-01-09,BUY,EXACT/ACCEPTABLE MATCH,9.4,6.3,9.427499999999611,0.456112437019377
AUDJPY_AMR,2024-01-10,BUY,EXACT/ACCEPTABLE MATCH,12.8,8.5,12.757499999999313,0.5095042132079445
AUDJPY_AMR,2024-01-11,SELL,EXACT/ACCEPTABLE MATCH,14.0,9.3,13.99499999999989,0.5216148624508794
AUDJPY_AMR,2024-01-12,BUY,EXACT/ACCEPTABLE MATCH,20.5,13.7,20.490000000000208,0.5710102489018976
AUDJPY_AMR,2024-01-15,BUY,EXACT/ACCEPTABLE MATCH,17.3,11.5,17.32499999999959,0.5483405483405613
AUDJPY_AMR,2024-01-16,BUY,EXACT/ACCEPTABLE MATCH,5.6,3.7,8.062499999999062,-1.2527131782947194
AUDJPY_AMR,2024-01-17,BUY,EXACT/ACCEPTABLE MATCH,9.0,6.0,8.977499999999594,0.4455583402952025
AUDJPY_AMR,2024-01-18,SELL,EXACT/ACCEPTABLE MATCH,10.0,6.7,10.012499999999848,0.4694132334581845
AUDJPY_AMR,2024-01-19,SELL,EXACT/ACCEPTABLE MATCH,23.6,15.8,23.62499999999983,-1.0835978835978914
AUDJPY_AMR,2024-01-22,BUY,EXACT/ACCEPTABLE MATCH,11.0,7.3,11.010000000000986,0.4813805631243892
AUDJPY_AMR,2024-01-23,SELL,EXACT/ACCEPTABLE MATCH,17.5,11.7,17.475000000000307,-1.1158798283261606
AUDJPY_AMR,2024-01-24,BUY,EXACT/ACCEPTABLE MATCH,14.2,9.5,14.220000000000963,-1.1392405063290365
AUDJPY_AMR,2024-01-26,BUY,EXACT/ACCEPTABLE MATCH,10.8,7.2,10.754999999998915,0.4834960483496536
AUDJPY_AMR,2024-01-29,BUY,EXACT/ACCEPTABLE MATCH,12.8,8.6,12.847500000000167,0.5137186223000517
AUDJPY_AMR,2024-01-31,BUY,EXACT/ACCEPTABLE MATCH,13.1,8.7,13.117500000000604,-1.1511339813226076
AUDJPY_AMR,2024-02-02,SELL,EXACT/ACCEPTABLE MATCH,17.8,11.9,17.774999999999608,-1.113924050632936
AUDJPY_AMR,2024-02-05,BUY,EXACT/ACCEPTABLE MATCH,22.7,15.1,22.657499999999686,0.5781749972415395
AUDJPY_AMR,2024-02-06,BUY,EXACT/ACCEPTABLE MATCH,8.6,5.8,8.625000000000682,0.4405797101448926
AUDJPY_AMR,2024-02-07,SELL,EXACT/ACCEPTABLE MATCH,12.3,8.2,12.315000000001676,-1.161185546081856
AUDJPY_AMR,2024-02-08,BUY,EXACT/ACCEPTABLE MATCH,7.4,4.9,10.140000000001947,0.4733727810649978
AUDJPY_AMR,2024-02-09,BUY,EXACT/ACCEPTABLE MATCH,10.6,7.1,10.619999999998695,0.4802259887006238
AUDJPY_AMR,2024-02-12,BUY,EXACT/ACCEPTABLE MATCH,19.6,13.1,19.61999999999904,0.5657492354740339
AUDJPY_AMR,2024-02-14,BUY,EXACT/ACCEPTABLE MATCH,12.3,8.2,12.33000000000004,0.5028386050283844
AUDJPY_AMR,2024-02-15,SELL,EXACT/ACCEPTABLE MATCH,19.4,12.9,19.3499999999986,0.5633074935400924
AUDJPY_AMR,2024-02-16,SELL,EXACT/ACCEPTABLE MATCH,8.1,5.4,8.084999999999809,0.4205318491032876
AUDJPY_AMR,2024-02-19,BUY,EXACT/ACCEPTABLE MATCH,22.9,15.3,22.87500000000051,0.5814207650273094
AUDJPY_AMR,2024-02-20,BUY,EXACT/ACCEPTABLE MATCH,8.0,5.3,8.0174999999997,0.4115996258185374
AUDJPY_AMR,2024-02-21,BUY,EXACT/ACCEPTABLE MATCH,15.5,10.3,15.517499999999274,0.534879974222677
AUDJPY_AMR,2024-02-22,SELL,EXACT/ACCEPTABLE MATCH,15.8,10.5,15.77999999999946,-1.128010139417022
AUDJPY_AMR,2024-02-23,SELL,EXACT/ACCEPTABLE MATCH,12.9,8.6,12.870000000000914,0.5128205128204764
AUDJPY_AMR,2024-02-26,SELL,EXACT/ACCEPTABLE MATCH,10.1,6.7,10.05750000000134,0.4673129505343648
AUDJPY_AMR,2024-02-27,BUY,EXACT/ACCEPTABLE MATCH,11.3,7.5,11.280000000001422,0.487588652482208
AUDJPY_AMR,2024-02-28,BUY,EXACT/ACCEPTABLE MATCH,23.3,15.5,23.32500000000053,-1.0846730975348091
AUDJPY_AMR,2024-02-29,BUY,EXACT/ACCEPTABLE MATCH,14.0,9.3,13.957500000000778,0.5230162994805369
AUDJPY_AMR,2024-03-01,SELL,EXACT/ACCEPTABLE MATCH,8.2,5.5,8.182499999998782,0.4277421326001248
AUDJPY_AMR,2024-03-06,BUY,EXACT/ACCEPTABLE MATCH,13.2,8.8,13.237500000000324,0.5136921624173623
AUDJPY_AMR,2024-03-07,BUY,EXACT/ACCEPTABLE MATCH,18.4,12.3,18.39749999999896,-1.1088463106400954
AUDJPY_AMR,2024-03-08,BUY,EXACT/ACCEPTABLE MATCH,14.9,9.9,14.902500000000174,0.5301123972487776
AUDJPY_AMR,2024-03-11,BUY,EXACT/ACCEPTABLE MATCH,20.4,13.6,20.4074999999996,-1.097635673159399
AUDJPY_AMR,2024-03-12,BUY,EXACT/ACCEPTABLE MATCH,17.5,11.6,17.475000000000307,0.5550786838340388
AUDJPY_AMR,2024-03-13,BUY,EXACT/ACCEPTABLE MATCH,17.2,11.5,17.189999999999372,0.5526468877254419
AUDJPY_AMR,2024-03-14,SELL,EXACT/ACCEPTABLE MATCH,9.7,6.5,9.68249999999955,0.464756003098395
AUDJPY_AMR,2024-03-15,BUY,EXACT/ACCEPTABLE MATCH,13.8,9.2,13.800000000001944,-1.1449275362317228
AUDJPY_AMR,2024-03-18,BUY,EXACT/ACCEPTABLE MATCH,13.2,8.8,13.154999999999715,0.5169137210186352
AUDJPY_AMR,2024-03-19,BUY,EXACT/ACCEPTABLE MATCH,11.1,7.4,11.085000000001344,0.4871447902570451
AUDJPY_AMR,2024-03-20,SELL,EXACT/ACCEPTABLE MATCH,14.6,9.8,14.647500000002369,-1.133299197815144
AUDJPY_AMR,2024-03-21,BUY,EXACT/ACCEPTABLE MATCH,22.4,14.9,22.350000000000136,0.5771812080536878
AUDJPY_AMR,2024-03-22,BUY,EXACT/ACCEPTABLE MATCH,28.3,18.9,28.31249999999983,-1.0701986754966952
AUDJPY_AMR,2024-03-25,BUY,EXACT/ACCEPTABLE MATCH,13.3,8.8,13.26750000000132,0.5125306199358827
AUDJPY_AMR,2024-03-26,BUY,MISMATCH (false positive -- reconstructed signal not in history),,,,
AUDJPY_AMR,2024-03-27,BUY,EXACT/ACCEPTABLE MATCH,14.4,9.6,14.42999999999941,0.5266805266805482
AUDJPY_AMR,2024-03-28,BUY,EXACT/ACCEPTABLE MATCH,17.2,11.4,17.15250000000026,0.5480250692318821
AUDJPY_AMR,2024-04-01,BUY,EXACT/ACCEPTABLE MATCH,16.9,11.3,16.919999999998936,0.5496453900709566
AUDJPY_AMR,2024-04-02,BUY,EXACT/ACCEPTABLE MATCH,9.9,6.6,9.900000000000375,0.464646464646447
AUDJPY_AMR,2024-04-03,BUY,EXACT/ACCEPTABLE MATCH,12.6,8.4,12.600000000000476,0.5079365079364887
AUDJPY_AMR,2024-04-04,SELL,EXACT/ACCEPTABLE MATCH,7.9,5.3,7.919999999998595,-1.2500000000002218
AUDJPY_AMR,2024-04-05,BUY,EXACT/ACCEPTABLE MATCH,24.6,16.4,24.55500000000086,0.5864386072082873
AUDJPY_AMR,2024-04-08,BUY,EXACT/ACCEPTABLE MATCH,30.4,20.2,30.36749999999984,0.5993249361982415
AUDJPY_AMR,2024-04-09,SELL,EXACT/ACCEPTABLE MATCH,6.7,4.4,9.17999999999779,0.4466230936820247
AUDJPY_AMR,2024-04-11,BUY,EXACT/ACCEPTABLE MATCH,26.0,17.3,25.994999999999635,0.5885747259088369
AUDJPY_AMR,2024-04-12,BUY,EXACT/ACCEPTABLE MATCH,14.8,9.9,14.842500000000314,-1.1318847902981064
AUDJPY_AMR,2024-04-15,SELL,EXACT/ACCEPTABLE MATCH,31.1,20.7,31.09500000000054,-1.064479819906719
AUDJPY_AMR,2024-04-16,BUY,EXACT/ACCEPTABLE MATCH,10.2,6.8,10.22999999999854,-1.192570869990395
AUDJPY_AMR,2024-04-19,BUY,EXACT/ACCEPTABLE MATCH,9.7,6.4,9.660000000000936,-1.2111801242234852
AUDJPY_AMR,2024-04-22,BUY,EXACT/ACCEPTABLE MATCH,21.5,14.3,21.487500000001347,0.5724258289702957
AUDJPY_AMR,2024-04-23,SELL,EXACT/ACCEPTABLE MATCH,20.7,13.8,20.692500000000532,0.5702549232813674
AUDJPY_AMR,2024-04-24,BUY,EXACT/ACCEPTABLE MATCH,14.3,9.6,14.325000000000188,0.5305410122163979
AUDJPY_AMR,2024-04-25,SELL,EXACT/ACCEPTABLE MATCH,13.1,8.7,13.057499999998612,-1.1564235113920434
AUDJPY_AMR,2024-04-29,SELL,EXACT/ACCEPTABLE MATCH,39.2,26.1,39.17250000000223,-1.0517582487713997
AUDJPY_AMR,2024-04-30,SELL,EXACT/ACCEPTABLE MATCH,29.9,19.9,29.86499999999808,0.5993638037837319
AUDJPY_AMR,2024-05-01,BUY,EXACT/ACCEPTABLE MATCH,25.0,16.6,24.96749999999963,0.5847601882447268
AUDJPY_AMR,2024-05-06,BUY,EXACT/ACCEPTABLE MATCH,14.7,9.8,14.654999999998353,0.532241555783069
AUDJPY_AMR,2024-05-07,SELL,EXACT/ACCEPTABLE MATCH,19.7,13.1,19.67250000000078,-1.103062650908585
AUDJPY_AMR,2024-05-08,BUY,EXACT/ACCEPTABLE MATCH,16.7,11.2,16.732500000001238,0.5498281786941174
AUDJPY_AMR,2024-05-09,BUY,EXACT/ACCEPTABLE MATCH,13.0,8.7,13.042500000000246,0.5137051945562487
AUDJPY_AMR,2024-05-10,BUY,EXACT/ACCEPTABLE MATCH,9.0,6.0,9.030000000001335,0.4429678848282843
AUDJPY_AMR,2024-05-13,BUY,EXACT/ACCEPTABLE MATCH,22.0,14.7,22.049999999998704,0.5759637188208955
AUDJPY_AMR,2024-05-14,SELL,EXACT/ACCEPTABLE MATCH,5.9,4.0,10.04999999999896,0.467661691542337
AUDJPY_AMR,2024-05-15,SELL,EXACT/ACCEPTABLE MATCH,16.7,11.1,16.664999999998997,0.5460546054605789
AUDJPY_AMR,2024-05-16,BUY,EXACT/ACCEPTABLE MATCH,16.6,11.1,16.612499999999386,-1.119638826185143
AUDJPY_AMR,2024-05-17,SELL,EXACT/ACCEPTABLE MATCH,12.2,8.2,12.232500000001068,0.5068465154301622
AUDJPY_AMR,2024-05-20,SELL,EXACT/ACCEPTABLE MATCH,28.0,18.6,27.952499999998537,0.5938645917181243
AUDJPY_AMR,2024-05-21,BUY,EXACT/ACCEPTABLE MATCH,11.4,7.6,11.384999999998511,0.4918752744840343
AUDJPY_AMR,2024-05-22,SELL,EXACT/ACCEPTABLE MATCH,10.4,7.0,10.439999999999117,-1.1877394636016332
AUDJPY_AMR,2024-05-24,BUY,EXACT/ACCEPTABLE MATCH,14.6,9.8,14.647500000000235,0.5325140809011691
AUDJPY_AMR,2024-05-27,BUY,EXACT/ACCEPTABLE MATCH,13.1,8.7,13.057500000002875,0.5131150679684875
AUDJPY_AMR,2024-05-28,BUY,EXACT/ACCEPTABLE MATCH,7.6,5.1,7.642500000000041,0.40562643114164
AUDJPY_AMR,2024-05-30,BUY,EXACT/ACCEPTABLE MATCH,23.7,15.8,23.744999999997415,-1.0823331227628046
AUDJPY_AMR,2024-05-31,BUY,EXACT/ACCEPTABLE MATCH,21.2,14.2,21.23999999999953,0.574387947269316
AUDJPY_AMR,2024-06-05,SELL,EXACT/ACCEPTABLE MATCH,23.2,15.4,23.1525000000012,-1.0884353741496036
AUDJPY_AMR,2024-06-06,BUY,EXACT/ACCEPTABLE MATCH,16.7,11.1,16.70249999999811,0.5448286184703505
AUDJPY_AMR,2024-06-07,SELL,EXACT/ACCEPTABLE MATCH,18.4,12.3,18.419999999999703,0.5591748099891513
AUDJPY_AMR,2024-06-10,SELL,EXACT/ACCEPTABLE MATCH,10.4,6.9,10.402500000000003,-1.1920211487623165
AUDJPY_AMR,2024-06-12,SELL,EXACT/ACCEPTABLE MATCH,8.0,5.3,7.95749999999984,0.4147031102733354
AUDJPY_AMR,2024-06-14,BUY,EXACT/ACCEPTABLE MATCH,21.8,14.5,21.75749999999965,0.5745145352177502
AUDJPY_AMR,2024-06-17,SELL,EXACT/ACCEPTABLE MATCH,23.0,15.4,23.039999999999598,0.5815972222222325
AUDJPY_AMR,2024-06-18,SELL,EXACT/ACCEPTABLE MATCH,8.6,5.7,8.610000000000184,0.4297328687572498
AUDJPY_AMR,2024-06-19,SELL,EXACT/ACCEPTABLE MATCH,15.3,10.2,15.254999999999086,-1.1340544083907595
AUDJPY_AMR,2024-06-21,SELL,EXACT/ACCEPTABLE MATCH,5.7,3.8,8.077499999997428,-1.2503868771282225
AUDJPY_AMR,2024-06-24,SELL,EXACT/ACCEPTABLE MATCH,12.6,8.4,12.64499999999984,0.5061289047054236
AUDJPY_AMR,2024-06-25,BUY,EXACT/ACCEPTABLE MATCH,24.6,16.4,24.644999999999584,0.584297017650649
AUDJPY_AMR,2024-06-26,BUY,EXACT/ACCEPTABLE MATCH,15.4,10.3,15.435000000000798,0.5377389050858161
AUDJPY_AMR,2024-06-27,BUY,EXACT/ACCEPTABLE MATCH,20.7,13.8,20.65499999999929,0.5712902444928786
