strategy,entry_time,r_multiple,prior_open_count,prior_jpy_open,prior_long_open,prior_short_open,prior_amr_open,prior_arb_open,prior_max_ccy_concentration,prior_n_factors,own_is_jpy,own_dir,own_mechanism,own_vol_pctile_atr
EURJPY_AMR,2025-12-18 00:15:00+00:00,-1.1991869918701157,1,1,0,1,0,1,1.0,2,True,BUY,AMR,0.2728504083394197
AUDJPY_AMR,2025-12-18 01:45:00+00:00,0.5789530960931142,2,2,1,1,1,1,1.0,3,True,BUY,AMR,0.3105471868845478
GBPJPY_AMR,2025-12-18 01:45:00+00:00,0.7355573637103257,2,2,1,1,1,1,1.0,3,True,BUY,AMR,0.2803660123774867
CADJPY_AMR,2025-12-18 03:45:00+00:00,-1.1006879299561907,1,1,0,1,0,1,1.0,2,True,SELL,AMR,0.4603750033197886
EURJPY_AMR,2025-12-19 00:00:00+00:00,0.5869776482022049,2,2,1,1,1,1,1.0,3,True,BUY,AMR,0.372538344067459
GBPJPY_AMR,2025-12-19 00:00:00+00:00,0.7351950881361519,2,2,1,1,1,1,1.0,3,True,BUY,AMR,0.3734627745756859
AUDJPY_AMR,2025-12-19 02:30:00+00:00,0.5843953994404856,2,2,0,2,1,1,1.0,2,True,SELL,AMR,0.3411002288816735
CADJPY_AMR,2025-12-19 02:30:00+00:00,-1.1088125775753366,2,2,0,2,1,1,1.0,3,True,SELL,AMR,0.4918598783629458
CADJPY_AMR,2025-12-22 00:00:00+00:00,0.5493562231760231,1,0,1,0,0,0,1.0,2,True,BUY,AMR,0.6616604254641064
GBPUSD_MONDAY,2025-12-22 00:00:00+00:00,0.7877599058454339,1,1,1,0,1,0,1.0,2,False,BUY,MONDAY,0.5165093081559716
AUDJPY_AMR,2025-12-22 00:30:00+00:00,0.5853051058530426,3,2,3,0,2,0,0.667,5,True,BUY,AMR,0.576209613030287
EURJPY_AMR,2025-12-22 00:30:00+00:00,0.5691660480079993,3,2,3,0,2,0,0.667,5,True,BUY,AMR,0.584117920456809
CADJPY_AMR,2025-12-23 01:30:00+00:00,-1.1285061969992318,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.5768199081082517
EURJPY_AMR,2025-12-23 02:45:00+00:00,-1.051458538184265,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.5928291614102649
AUDJPY_AMR,2025-12-23 02:45:00+00:00,-1.0745927407831084,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.3607148560174589
GBPJPY_AMR,2025-12-23 02:45:00+00:00,-1.0553656869446593,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.4761746659937847
CADJPY_AMR,2025-12-24 02:45:00+00:00,-1.1102085025724906,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.6348498127639232
