trade_id,account,status,strategy,audit_strategy_family,symbol,direction,entry_time,entry_price,exit_time,exit_price,profit,R,raw_exit_reason,exit_reason,london_exit_classification,expected_exit_utc,expected_exit_method,deviation_minutes,event_classification,classification_note,audit_period
581248231,5ERS-<login>,OPEN,EURJPY_AMR,AMR,EURJPY,SELL,2026-07-28T00:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-28T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
581248231,5ERS-<login>,CLOSED,EURJPY_AMR,AMR,EURJPY,SELL,2026-07-28T00:15:05+00:00,0.0,2026-07-28T06:31:40+00:00,186.312,-12.75,-1.03,SL,SL,LONDON_EXIT_EXPECTED,2026-07-28T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-28.3,H. POSITION_ALREADY_CLOSED,position hit SL 28 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
581832143,5ERS-<login>,OPEN,EURJPY_AMR,AMR,EURJPY,BUY,2026-07-29T00:45:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-29T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
581832143,5ERS-<login>,CLOSED,EURJPY_AMR,AMR,EURJPY,BUY,2026-07-29T00:45:05+00:00,0.0,2026-07-29T03:53:09+00:00,186.437,-12.46,-1.01,SL,SL,LONDON_EXIT_EXPECTED,2026-07-29T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-186.8,H. POSITION_ALREADY_CLOSED,position hit SL 187 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
581914043,5ERS-<login>,OPEN,CADJPY_ARB,ARB,CADJPY,SELL,2026-07-29T05:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design,NOT_AVAILABLE,N/A -- not applicable (ARB has no scheduled exit),"ARB exits via SL/TP/Friday-close only, by design",BASELINE
581914044,5ERS-<login>,OPEN,GBPJPY_ARB,UNKNOWN,GBPJPY,SELL,2026-07-29T05:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPJPY_ARB"" not one of the 6 eligible live strategies",BASELINE
581914043,5ERS-<login>,CLOSED,CADJPY_ARB,ARB,CADJPY,SELL,2026-07-29T05:00:05+00:00,0.0,2026-07-29T15:30:32+00:00,116.204,-28.59,-1.16,SL,SL,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design,NOT_AVAILABLE,N/A -- not applicable (ARB has no scheduled exit),"ARB exits via SL/TP/Friday-close only, by design",BASELINE
581914044,5ERS-<login>,CLOSED,GBPJPY_ARB,UNKNOWN,GBPJPY,SELL,2026-07-29T05:00:05+00:00,0.0,2026-07-29T17:28:36+00:00,217.788,-40.78,-1.65,SL,SL,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPJPY_ARB"" not one of the 6 eligible live strategies",BASELINE
583033055,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-07-30T23:45:06+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
583033057,5ERS-<login>,OPEN,CADJPY_AMR,AMR,CADJPY,SELL,2026-07-30T23:45:06+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
583033055,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-07-30T23:45:06+00:00,0.0,2026-07-31T07:00:05+00:00,112.85,-6.48,-0.53,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
583033057,5ERS-<login>,CLOSED,CADJPY_AMR,AMR,CADJPY,SELL,2026-07-30T23:45:06+00:00,0.0,2026-07-31T07:00:05+00:00,114.587,-5.1,-0.42,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
583622176,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,BUY,2026-08-02T21:15:06+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
583622177,5ERS-<login>,OPEN,CADJPY_AMR,AMR,CADJPY,BUY,2026-08-02T21:15:06+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
583623638,5ERS-<login>,OPEN,GBPUSD_MON,UNKNOWN,GBPUSD,BUY,2026-08-02T22:00:16+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPUSD_MON"" not one of the 6 eligible live strategies",BASELINE
583676662,5ERS-<login>,OPEN,GBPJPY_AMR,AMR,GBPJPY,BUY,2026-08-03T00:45:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
583622176,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,BUY,2026-08-02T21:15:06+00:00,0.0,2026-08-03T03:39:57+00:00,109.886,-7.32,-0.6,SL,SL,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-200.1,H. POSITION_ALREADY_CLOSED,position hit SL 200 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
583622177,5ERS-<login>,CLOSED,CADJPY_AMR,AMR,CADJPY,BUY,2026-08-02T21:15:06+00:00,0.0,2026-08-03T03:41:24+00:00,111.117,-8.72,-0.72,SL,SL,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-198.6,H. POSITION_ALREADY_CLOSED,position hit SL 199 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
